#(V05.02.04C) EGD Point List Report for PTT_1609256_59_T1,,,,,,,,,,,,,,,,,,
Entry No,Variable,Point Name,Point Offset,Direction,Data Type,CIMPLICITY Resource,Units,Producer ID,Period(ms),Exchange Name,Destination,Description,Alias,Second Language Description,Path,Format Specification,,
1438,Z_CALIBREF,EGD.ProducedPages._Status.Exchange1.Point_440,01.0196.0,ReadOnly,REAL,,,1701122220,250,Exchange1,172.16.111.255,,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:Z_CALIBREF,,,
1439,ASC_SPSPL,EGD.ProducedPages._Status.Exchange1.Point_490,01.0420.0,ReadWrite,REAL,,psig,1701122220,250,Exchange1,172.16.111.255,Discharge Pressure High Limit Setpoint,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:ASC_SPSPL,,,
1440,ASC_DPSPH,EGD.ProducedPages._Status.Exchange1.Point_491,01.0424.0,ReadWrite,REAL,,psig,1701122220,250,Exchange1,172.16.111.255,Discharge Pressure High Limit Setpoint,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:ASC_DPSPH,,,
1443,MCTRL_RSP,EGD.ProducedPages._Status.Exchange1.Point_461,01.0280.0,ReadOnly,REAL,,,1701122220,250,Exchange1,172.16.111.255,Remote Setpoint,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:MCTRL_RSP,,,
1448,DDRS.DDR7.Status,EGD.ProducedPages._Status.Exchange1.Point_397,01.0054.0,ReadOnly,UINT,,,1701122220,250,Exchange1,172.16.111.255,,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:DDRS.DDR7.Status,,,
1449,DesignatedController_S,EGD.ProducedPages._Status.Exchange1.Point_396,01.0052.0,ReadOnly,UINT,,,1701122220,250,Exchange1,172.16.111.255,The designated controller as known to S.,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:DesignatedController_S,,,
1450,DDRS.DDR8.Status,EGD.ProducedPages._Status.Exchange1.Point_395,01.0050.0,ReadOnly,UINT,,,1701122220,250,Exchange1,172.16.111.255,,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:DDRS.DDR8.Status,,,
1452,Forces_S,EGD.ProducedPages._Status.Exchange1.Point_399,01.0058.0,ReadOnly,UINT,,,1701122220,250,Exchange1,172.16.111.255,The number of forces on the S controller.,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:Forces_S,,,
1453,DDRS.DDR10.Status,EGD.ProducedPages._Status.Exchange1.Point_398,01.0056.0,ReadOnly,UINT,,,1701122220,250,Exchange1,172.16.111.255,,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:DDRS.DDR10.Status,,,
1454,DDRS.DDR12.Status,EGD.ProducedPages._Status.Exchange1.Point_406,01.0072.0,ReadOnly,UINT,,,1701122220,250,Exchange1,172.16.111.255,,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:DDRS.DDR12.Status,,,
1466,LSC_NSRBK,EGD.ProducedPages._Status.Exchange1.Point_437,01.0184.0,ReadWrite,REAL,,,1701122220,250,Exchange1,172.16.111.255,Output Readback (Speed Setpoint to MarkVI),,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:LSC_NSRBK,,,
1481,SLWCRNK_RT,EGD.ProducedPages._Status.Exchange1.Point_435,01.0176.0,ReadOnly,REAL,,s,1701122220,250,Exchange1,172.16.111.255,Slow Crank Remaining Time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:SLWCRNK_RT,SEC,,
1494,MCTRL_SP,EGD.ProducedPages._Status.Exchange1.Point_443,01.0208.0,ReadOnly,REAL,,,1701122220,250,Exchange1,172.16.111.255,Master Controller Setpoint,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:MCTRL_SP,,,
1496,MinorRevision_S,EGD.ProducedPages._Status.Exchange1.Point_484,01.0372.0,ReadOnly,UDINT,,,1701122220,250,Exchange1,172.16.111.255,The S controller's minor revision.,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:MinorRevision_S,,,
1498,Forces_R,EGD.ProducedPages._Status.Exchange1.Point_400,01.0060.0,ReadOnly,UINT,,,1701122220,250,Exchange1,172.16.111.255,The number of forces on the R controller.,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:Forces_R,,,
1499,ASC_SPTT1,EGD.ProducedPages._Status.Exchange1.Point_480,01.0356.0,ReadWrite,REAL,,psig,1701122220,250,Exchange1,172.16.111.255,Suction Pressure Transmitter Train 1 (PT-006/A),,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:ASC_SPTT1,,,
1500,LSC_PV,EGD.ProducedPages._Status.Exchange1.Point_483,01.0368.0,ReadWrite,REAL,,,1701122220,250,Exchange1,172.16.111.255,Control Loop Process Variable,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:LSC_PV,,,
